Facility Id,Facility Name,Industry
1014323,Air Products West Coast Hydrogen - HP-1,Chemicals
1014612,Air Products West Coast Hydrogen LLC - Torrance,"Chemicals,Suppliers of CO2"
1014324,Air Products West coast Hydrogen - HP-2,Chemicals
1011460,Air Products and Chemicals - Norco SMR,Chemicals
1010506,Air Products and Chemicals Inc. Luling SMR Facility,Chemicals
1010625,Air Products and Chemicals Inc./Detroit Hydrogen Facility Marathon Refinery,Chemicals
1005573,"Air Products and Chemicals, Inc.",Chemicals
1007116,"Air Products and Chemicals, Inc.",Chemicals
1004586,"Air Products and Chemicals, Inc. - BR SMR",Chemicals
1005852,"Air Products and Chemicals, Inc. - Joliet, IL H2 Plant",Chemicals
1001685,Air Quality Mine,Other
1004725,Airgas Therapeutics LLC - Scott Medical Products,"Chemicals,Industrial Gas Suppliers"
1014866,"Ajinomoto Health & Nutrition NA, Inc.",Chemicals
1010624,Akutan Seafood Processing Facility,Other
1006235,Aladdin Manufacturing - Glasgow facility,Other
1005138,Alamance County Landfill,Waste
1012815,Alamo Gas Plant,Petroleum and Natural Gas Systems
1007208,Alamo San Antonio Cement Plant,Minerals
1010937,"Alaska Village Electric Cooperative, Inc.",Power Plants
1013912,Albany,Petroleum and Natural Gas Systems
1012844,Albany Green Energy,Power Plants
1009825,"Albert Einstein College of Medicine, Inc.",Other
1000970,Albright Power Station,Power Plants
1012517,Alcoa USA Corp.,Metals
1003448,"Alcon Vision, LLC",Chemicals
1003411,Alderson Regional Landfill,Waste
1000955,Alex Ty Cooke Generating Station,Power Plants
1012943,Alexander City,Petroleum and Natural Gas Systems
1012573,"Alexander Orr, Jr. Water Treatment Plant",Other
1000221,Alfred L Pierce Generating Station,Power Plants
1005044,"Algonquin Power Sanger, LLC",Power Plants
1006409,"Algonquin Power Windsor Locks, LLC",Power Plants
1011361,All American Asphalt,Petroleum and Natural Gas Systems
1001217,Allegany Generating Station,Power Plants
1004729,"Allegheny & Tsingshan Stainless, LLC",Metals
1002050,Allen,Petroleum and Natural Gas Systems
1000916,Allen,Power Plants
1000691,Allen S King,Power Plants
1008032,"Allens, Inc. - Van Buren","Other,Waste"
1011298,Alliance Compressor Station,Petroleum and Natural Gas Systems
1006841,Alliance Pipeline L.P. Albert Lea 25-A,Petroleum and Natural Gas Systems
1000890,Allison Compressor Station,Petroleum and Natural Gas Systems
1000988,Alma,Power Plants
1009920,Alma No. 1 Mine,Other
1006161,Almatis Burnside Inc,Metals
1007315,Almond Power Plant,Power Plants
1003689,Alon Bakersfield Refining,Petroleum and Natural Gas Systems
1003690,Alon Bakersfield Refining - Area 3,Petroleum and Natural Gas Systems
1013070,Alpaca Energy LLC,Power Plants
1009221,"Alpek Polyester USA, LLC Columbia Site",Other
1005826,"AlphaPET, Inc.",Other
1012152,Alpine Power Plant,Power Plants
1013088,Alpont LLC,Chemicals
1000417,Alsey Station,Power Plants
1012036,"AltEn, LLC",Other
1001625,AltaGas Ripon Energy Inc.,Power Plants
1007072,"Altair Disposal Services, LLC",Waste
1007699,Altamont Landfill & Resource Recovery Facility,Waste
