Facility Id,Year,Emissions
1005891,2023.0,332670.75
1004082,2023.0,8567.0
1002158,2023.0,99135.348
1005880,2023.0,55825.276
1000638,2023.0,23332.256
1002893,2023.0,99158.246
1007994,2023.0,153116.758
1002963,2023.0,244865.488
1004091,2023.0,56157.288
1006301,2023.0,1367496.742
1006661,2023.0,11090.25
1003818,2023.0,58909.05
1006468,2023.0,2179352.242
1007339,2023.0,5220291.312
1012617,2023.0,39229.508
1008476,2023.0,52386.658
1007367,2023.0,64589.978
1010302,2023.0,65313.922
1005003,2023.0,121703.668
1003356,2023.0,185600.75
1007951,2023.0,15414.346
1007574,2023.0,36790.836
1006214,2023.0,29361.384
1002489,2023.0,58699.3
1005023,2023.0,671663.178
1004026,2023.0,29588.8
1002349,2023.0,53787.748
1006373,2023.0,536932.32
1003241,2023.0,26065.452
1003898,2023.0,41169.244
1002954,2023.0,40372.592
1007026,2023.0,4975.896
1002600,2023.0,78141.156
1004494,2023.0,52819.65
1004848,2023.0,13735.25
1006828,2023.0,53541.848
1006464,2023.0,14930.15
1007712,2023.0,4235.5
1004533,2023.0,41061.5
1007605,2023.0,187249.05
1002436,2023.0,40198.9
1003543,2023.0,33793.5
1005056,2023.0,55468.0
1001811,2023.0,24994.456
1001726,2023.0,23264.312
1004415,2023.0,41530.0
1007680,2023.0,52172.05
1013882,2023.0,128579.868
1006174,2023.0,9333.708
1006221,2023.0,19457.25
1006784,2023.0,106812.168
1001775,2023.0,70463.5
1004708,2023.0,44844.832
1002433,2023.0,71512.48
1002526,2023.0,74719.568
1005075,2023.0,84066.532
1004105,2023.0,32615.528
1006969,2023.0,60009.788
1007743,2023.0,39396.198
1003405,2023.0,57982.932
1003837,2023.0,113085.224
1004355,2023.0,34784.0
1007554,2023.0,48960.5
1000191,2023.0,86332.0
1007815,2023.0,32808.15
1011859,2023.0,33538.462
1012447,2023.0,180017.228
1001409,2023.0,19931.276
1005761,2023.0,2817632.218
1002087,2023.0,98704.532
1008786,2023.0,30049.388
1012394,2023.0,21803.0
1013883,2023.0,25182.856
1014813,2023.0,46782.512
1007302,2023.0,6075626.532
1013395,2023.0,39352.828
1013669,2023.0,33510.724
1000997,2023.0,717549.44
1001412,2023.0,5007385.07
1010722,2023.0,24109.86
1011964,2023.0,48508.268
1011063,2023.0,55609.54
1007300,2023.0,1153439.548
1007920,2023.0,3136.888
1010637,2023.0,1980799.108
1013903,2023.0,155102.194
1009840,2023.0,311053.936
1005950,2023.0,32575.65
1014651,2023.0,43203.836
1000978,2023.0,14220.15
1007242,2023.0,1219132.642
1002246,2023.0,73943.572
1001989,2023.0,63149.712
1000555,2023.0,396459.132
1001246,2023.0,34514.92
1000346,2023.0,2017198.162
1007931,2023.0,105115.508
